| 合う (あう) | 合う | Hợp | gặp, hợp | 友達に合う。(Gặp bạn.) |
| 聞く (きく) | 聞く | Văn | nghe, hỏi | 音楽を聞く。(Nghe nhạc.) |
| 利く (きく) | 利く | Lợi | có tác dụng, nhạy | 目が利く。(Có cặp mắt tinh.) / ブレーキが利く。(Phanh ăn.) |
| 刻む (きざむ) | 刻む | Khắc | thái, khắc | 野菜を刻む。(Thái rau.) / 文字を刻む。(Khắc chữ.) |
| 気付く (きづく) | 気付く | Khí | nhận ra | 間違いに気付く。(Nhận ra lỗi.) |
| 傷付く (きずつく) | 傷付く | Thương | bị tổn thương | 心が傷付く。(Tâm hồn bị tổn thương.) |
| 傷付ける (きずつける) | 傷付ける | Thương | làm tổn thương | 人の心を傷付ける。(Làm tổn thương trái tim người khác.) |
| 決まる (きまる) | 決まる | Quyết | được quyết định | 方針が決まる。(Phương châm được quyết định.) |
| 決める (きめる) | 決める | Quyết | quyết định | 日程を決める。(Quyết định lịch trình.) |
| 嫌う (きらう) | 嫌う | Hiềm | ghét | 暴力を嫌う。(Ghét bạo lực.) |
| 切る (きる) | 切る | Thiết | cắt | 紙を切る。(Cắt giấy.) |
| 着る (きる) | 着る | Trước | mặc | 服を着る。(Mặc quần áo.) |
| 消える (きえる) | 消える | Tiêu | tắt, biến mất | 火が消える。(Lửa tắt.) |
| 食う (くう) | 食う | Thực | ăn (thô tục) | 飯を食う。(Ăn cơm.) |
| 区切る (くぎる) | 区切る | Khu | phân chia, ngắt quãng | 文章を区切る。(Ngắt câu trong đoạn văn.) |
| 潜る (くぐる) | 潜る | Tiềm | lặn, đi qua dưới | 水中を潜る。(Lặn dưới nước.) / 門を潜る。(Đi qua cổng.) |
| 崩す (くずす) | 崩す | Băng | phá hủy, làm rối loạn | 城を崩す。(Phá thành.) / 体調を崩す。(Sức khỏe suy sụp.) |
| 崩れる (くずれる) | 崩れる | Băng | sụp đổ | 建物が崩れる。(Tòa nhà sụp đổ.) |
| 腐る (くさる) | 腐る | Hủ | thối rữa | 肉が腐る。(Thịt thối.) |
| 下さる (くださる) | 下さる | Hạ | cho, tặng (kính ngữ) | 先生が本を下さる。(Thầy giáo cho tôi sách.) |
| 砕く (くだく) | 砕く | Toái | nghiền nát | 石を砕く。(Nghiền nát đá.) |
| 砕ける (くだける) | 砕ける | Toái | vỡ vụn | ガラスが砕ける。(Kính vỡ vụn.) |
| くたびれる | くたびれる | (không có Kanji) | mệt mỏi, kiệt sức | 仕事でくたびれる。(Mệt mỏi vì công việc.) |
| 下る (くだる) | 下る | Hạ | đi xuống, được ban hành | 坂を下る。(Đi xuống dốc.) / 命令が下る。(Mệnh lệnh được ban hành.) |
| 口ずさむ (くちずさむ) | 口ずさむ | Khẩu | hát thầm, ngâm nga | 歌を口ずさむ。(Ngâm nga một bài hát.) |
| 覆す (くつがえす) | 覆す | Phúc | lật ngược, bác bỏ | 定説を覆す。(Lật ngược định説.) |
| 覆る (くつがえる) | 覆る | Phúc | bị lật ngược | 計画が覆る。(Kế hoạch bị đảo lộn.) |
| くっ付く (くっつく) | くっ付く | Phó | dính chặt, bám theo | シールが壁にくっ付く。(Nhãn dán dính chặt vào tường.) |
| くっ付ける (くっつける) | くっ付ける | Phó | làm dính chặt | 二つの板をくっ付ける。(Làm dính chặt hai tấm ván.) |
| 配る (くばる) | 配る | Phối | phân phát | 新聞を配る。(Phân phát báo.) |
| 組む (くむ) | 組む | Tổ | kết hợp, lắp ráp | チームを組む。(Lập đội.) / 足を組む。(Vắt chân.) |
| 汲む (くむ) | 汲む | Cấp | múc | 水を汲む。(Múc nước.) |
| 悔やむ (くやむ) | 悔やむ | Hối | hối hận | 過去を悔やむ。(Hối hận về quá khứ.) |
| 暮らす (くらす) | 暮らす | Mộ | sinh sống | 東京で暮らす。(Sinh sống ở Tokyo.) |
| 比べる (くらべる) | 比べる | Tỉ | so sánh | 二つを比べる。(So sánh hai cái.) |
| 狂う (くるう) | 狂う | Cuồng | điên cuồng, trục trặc | 時計が狂う。(Đồng hồ chạy sai.) / 気が狂う。(Phát điên.) |
| 包む (くるむ) | 包む | Bao | gói, bọc | プレゼントを包む。(Gói quà.) |
| 苦しむ (くるしむ) | 苦しむ | Khổ | đau khổ, khổ sở | 病気で苦しむ。(Khổ sở vì bệnh tật.) |
| 苦しめる (くるしめる) | 苦しめる | Khổ | làm cho đau khổ | 人を苦しめる。(Làm người khác đau khổ.) |
| 来る (くる) | 来る | Lai | đến | 友達が来る。(Bạn đến.) |
| 暮れる (くれる) | 暮れる | Mộ | lặn (mặt trời), hết (ngày, năm) | 日が暮れる。(Mặt trời lặn.) / 年が暮れる。(Hết năm.) |
| 加える (くわえる) | 加える | Gia | thêm vào | 説明を加える。(Thêm lời giải thích.) |
| 咥える (くわえる) | 咥える | Điếu | ngậm | 指を咥える。(Ngậm ngón tay.) |
| 加わる (くわわる) | 加わる | Gia | tham gia, gia tăng | チームに加わる。(Tham gia vào đội.) / 力が加わる。(Lực tác động tăng lên.) |
| 計る (はかる) | 計る | Kế | đo, cân | 時間を計る。(Đo thời gian.) |
| 諮る (はかる) | 諮る | Ti | hỏi ý, tham khảo | 会議に諮る。(Hỏi ý kiến hội nghị.) |
| 図る (はかる) | 図る | Đồ | lập kế hoạch, tiến hành | 問題の解決を図る。(Tiến hành giải quyết vấn đề.) |
| 謀る (はかる) | 謀る | Mưu | âm mưu, mưu đồ | 暗殺を謀る。(Âm mưu ám sát.) |
| 弾く (はじく) | 弾く | Đàn | búng, gạt ra, không thấm (nước) | コインを弾く。(Búng đồng xu.) / 水を弾く。(Không thấm nước.) |
| 恥じる (はじる) | 恥じる | Sỉ | xấu hổ | 過ちを恥じる。(Xấu hổ về lỗi lầm.) |
| 外す (はずす) | 外す | Ngoại | tháo ra, bỏ ra, trượt | ボタンを外す。(Tháo cúc áo.) |
| 外れる (はずれる) | 外れる | Ngoại | tuột ra, trượt, không trúng | 予想が外れる。(Dự đoán trật.) |
| 話す (はなす) | 話す | Thoại | nói chuyện | 友達と話す。(Nói chuyện với bạn.) |
| 放す (はなす) | 放す | Phóng | thả, buông | 鳥を放す。(Thả chim.) |
| 離す (はなす) | 離す | Ly | tách ra, rời xa | 手を離す。(Buông tay.) |
| 離れる (はなれる) | 離れる | Ly | rời xa, chia cách | 故郷を離れる。(Rời xa quê hương.) |
| 跳ねる (はねる) | 跳ねる | Khiêu | nhảy, bắn (bùn) | ボールが跳ねる。(Bóng nảy lên.) |
| 撥ねる (はねる) | 撥ねる | Bát | gạt bỏ, đâm (xe) | 車に撥ねられる。(Bị xe đâm.) |
